timestamp,mode,hostname,node_cpu_seconds_total,node_filesystem_avail_bytes,node_filesystem_size_bytes,node_disk_read_bytes_total,node_disk_written_bytes_total,node_network_receive_bytes_total,node_network_receive_drop_total,node_network_receive_errs_total,node_network_transmit_packets_total,node_vmstat_pgmajfault,node_memory_MemAvailable_bytes,node_memory_MemTotal_bytes,node_forks_total,node_intr_total,node_load1,node_load5,node_load15,node_sockstat_TCP_alloc,node_sockstat_TCP_inuse,node_sockstat_TCP_mem,node_sockstat_TCP_mem_bytes,node_sockstat_UDP_inuse,node_sockstat_UDP_mem,node_sockstat_sockets_used,node_netstat_Tcp_CurrEstab,node_filefd_allocated,mmap,munmap,accept,brk,bind,connect,chdir,clone,close,kill,listen,mkdir,open,poll,read,rename,recvfrom,select,socket,sendto,write
2024-11-15 15:20:24,normal_traffic,unknown,313391.17000000004,208018698240,232610275328,1325872128,3556975616,299094269173,0,0,899355004,7516,13081124864,16440401920,66001,355786744,2.44,2.34,2.29,11,5,1711,7008256,5,768,1362,5,15992,37711,5997,0,4269,1153,840,108,5684,419913,2545,0,87,0,73019380,0,80,14236513,0,6799,14145858,0
2024-11-15 15:20:25,normal_traffic,unknown,340032.58,223170910208,248547655680,1364930048,1397540864,62819389607,0,0,188794382,7384,13514809344,16440418304,36963,82696426,2.3,2.43,2.27,11,5,1287,5271552,5,256,1353,5,14416,801,115,0,127,1079,323,4,60,307731,66,0,6,0,67759614,0,4,13168430,0,1738,13125157,0
2024-11-15 15:20:25,normal_traffic,unknown,316630.77,205938169856,230966169600,1496346112,3238487040,287703440783,0,0,877268984,6403,14090412032,16440193024,52504,341265624,2.41,2.48,2.33,11,6,1393,5705728,5,512,838,5,8632,1367,107,0,55,776,16785,5,254,235666,60,0,12,0,46717537,0,13,9066766,0,16769,9034069,0
2024-11-15 15:20:28,normal_traffic,unknown,313461.06,208018698240,232610275328,1325872128,3556979712,299200887956,0,0,899675777,7516,13080940544,16440401920,66009,355910453,2.44,2.34,2.29,11,5,1967,8056832,5,768,1362,5,15992,37714,5999,0,4269,1155,840,108,5684,420344,2545,0,87,0,73134637,0,80,14258967,0,6811,14168114,0
2024-11-15 15:20:29,normal_traffic,unknown,340102.39,223170910208,248547655680,1364930048,1397540864,62926719498,0,0,189117302,7384,13515067392,16440418304,36971,82828451,2.27,2.43,2.27,11,5,1287,5271552,5,256,1355,5,14416,801,115,0,127,1083,323,4,60,308134,66,0,6,0,67876084,0,4,13190842,0,1742,13147388,0
2024-11-15 15:20:29,normal_traffic,unknown,316700.52,205938169856,230966169600,1496346112,3238487040,287806277233,0,0,877598185,6403,14090678272,16440193024,52512,341393129,2.41,2.48,2.33,11,6,1393,5705728,5,512,837,5,8632,1367,107,0,55,780,16786,5,254,236677,60,0,12,0,46835325,0,13,9089727,0,16777,9057056,0
2024-11-15 15:20:32,normal_traffic,unknown,313531.00999999995,208018698240,232610275328,1325872128,3556996096,299308731786,0,0,900000236,7516,13084061696,16440401920,66017,356034964,2.48,2.35,2.29,11,5,1711,7008256,5,768,1359,5,15992,37716,6000,0,4269,1155,840,108,5684,420425,2545,0,87,0,73251402,0,80,14281691,0,6820,14190691,0
2024-11-15 15:20:33,normal_traffic,unknown,340172.21,223170910208,248547655680,1364930048,1397573632,63032043904,0,0,189434178,7384,13516836864,16440418304,36979,82948683,2.41,2.45,2.28,11,5,1287,5271552,5,256,1356,5,14416,801,115,0,127,1085,323,4,60,308737,66,0,6,0,67989665,0,4,13213008,0,1743,13169537,0
2024-11-15 15:20:33,normal_traffic,unknown,316769.87999999995,205938169856,230966169600,1496346112,3238691840,287905984678,0,0,877917368,6403,14090084352,16440193024,52520,341518345,2.38,2.47,2.33,11,6,1649,6754304,5,512,836,5,8632,1367,107,0,55,782,16786,5,254,236887,60,0,12,0,46949962,0,13,9112120,0,16779,9079301,0
2024-11-15 15:20:36,normal_traffic,unknown,313600.8799999999,208018698240,232610275328,1325872128,3557221376,299416753650,0,0,900325229,7516,13078568960,16440401920,66025,356167887,2.52,2.36,2.29,11,5,1455,5959680,5,768,1359,5,15992,37716,6000,0,4269,1157,840,108,5684,421237,2545,0,87,0,73367768,0,80,14304380,0,6829,14213327,0
2024-11-15 15:20:37,normal_traffic,unknown,340241.90000000014,223170910208,248547655680,1364930048,1397753856,63138135156,0,0,189753363,7384,13517004800,16440418304,36987,83081270,2.38,2.45,2.28,11,5,1287,5271552,5,256,1355,5,14376,801,115,0,127,1087,323,4,60,309707,66,0,6,0,68104032,0,4,13235361,0,1745,13191366,0
2024-11-15 15:20:37,normal_traffic,unknown,316839.74000000005,205938169856,230966169600,1496346112,3238691840,288009382815,0,0,878248369,6403,14087434240,16440193024,52528,341637155,2.35,2.47,2.33,11,6,1649,6754304,5,512,836,5,8632,1367,107,0,55,784,16786,5,254,237484,60,0,12,0,47068723,0,13,9135304,0,16781,9102274,0
2024-11-15 15:20:40,normal_traffic,unknown,313670.80999999994,208018698240,232610275328,1325872128,3557237760,299525964133,0,0,900653806,7516,13076148224,16440401920,66033,356276416,2.48,2.35,2.29,11,5,1455,5959680,5,768,1362,5,15992,37716,6005,0,4269,1161,840,108,5684,422290,2545,0,87,0,73485707,0,80,14327187,0,6844,14235854,0
2024-11-15 15:20:41,normal_traffic,unknown,340311.6,223170910208,248547655680,1364930048,1397770240,63243146447,0,0,190069304,7384,13519343616,16440418304,36996,83212672,2.38,2.45,2.28,11,5,1287,5271552,5,256,1353,5,14376,801,115,0,127,1087,323,4,60,309992,66,0,6,0,68217846,0,4,13257373,0,1746,13213185,0
2024-11-15 15:20:41,normal_traffic,unknown,316909.56000000006,205938169856,230966169600,1496346112,3238691840,288111406832,0,0,878574972,6403,14088695808,16440193024,52536,341759678,2.32,2.46,2.33,11,6,1649,6754304,5,512,836,5,8632,1367,107,0,55,785,16786,5,254,238514,60,0,12,0,47185651,0,13,9157932,0,16782,9124944,0
2024-11-15 15:20:44,normal_traffic,unknown,313740.67000000004,208018698240,232610275328,1325872128,3557237760,299634605215,0,0,900980666,7516,13082075136,16440401920,66097,356409495,2.44,2.35,2.29,11,5,1711,7008256,5,768,1359,5,16072,37716,6005,0,4269,1163,840,108,5684,423254,2545,0,87,0,73602835,0,80,14349949,0,6857,14258328,0
2024-11-15 15:20:45,normal_traffic,unknown,340381.48999999993,223170910208,248547655680,1364930048,1397770240,63350184567,0,0,190391342,7384,13517553664,16440418304,37004,83334495,2.35,2.44,2.28,11,5,1287,5271552,5,256,1356,5,14376,801,115,0,127,1091,323,4,60,310590,66,0,6,0,68333575,0,4,13279617,0,1751,13235632,0
2024-11-15 15:20:45,normal_traffic,unknown,316979.29,205938169856,230966169600,1496346112,3238691840,288213624488,0,0,878902195,6403,14085505024,16440193024,52544,341886771,2.38,2.47,2.33,11,6,1393,5705728,5,512,838,5,8632,1367,107,0,55,786,16786,5,254,239025,60,0,12,0,47303178,0,13,9180772,0,16783,9147744,0
2024-11-15 15:20:48,normal_traffic,unknown,313810.09,208018698240,232610275328,1325872128,3557307392,299742248889,0,0,901304522,7516,13078417408,16440401920,66105,356535040,2.44,2.35,2.29,11,5,1711,7008256,5,768,1362,5,16072,38071,6050,0,4306,1163,846,109,5732,423866,2548,0,87,0,73718476,0,80,14372546,0,6868,14280932,0
2024-11-15 15:20:49,normal_traffic,unknown,340451.19,223170910208,248547655680,1364930048,1397770240,63455894047,0,0,190709381,7384,13516238848,16440418304,37012,83461793,2.32,2.43,2.27,11,5,775,3174400,5,256,1356,5,14376,801,115,0,127,1093,323,4,60,310885,66,0,6,0,68447972,0,4,13301769,0,1754,13257758,0
2024-11-15 15:20:49,normal_traffic,unknown,317049.18,205938169856,230966169600,1496346112,3238695936,288316505668,0,0,879231537,6403,14090108928,16440193024,52552,342002691,2.38,2.47,2.33,11,6,1393,5705728,5,512,836,5,8632,1367,107,0,55,787,16786,5,254,239323,60,0,12,0,47421300,0,13,9203928,0,16785,9170770,0
2024-11-15 15:20:52,normal_traffic,unknown,313880.05000000005,208018698240,232610275328,1325872128,3557307392,299851488151,0,0,901633182,7516,13081055232,16440401920,66113,356659462,2.41,2.34,2.29,11,5,1711,7008256,5,768,1359,5,16072,38074,6050,0,4306,1168,846,109,5732,424964,2548,0,87,0,73835888,0,80,14395427,0,6873,14303768,0
2024-11-15 15:20:53,normal_traffic,unknown,340521.04,223170910208,248547655680,1364930048,1397770240,63563298961,0,0,191032521,7384,13516984320,16440418304,37020,83582934,2.29,2.42,2.27,11,5,775,3174400,5,256,1355,5,14376,801,115,0,127,1096,323,4,60,311440,66,0,6,0,68563711,0,4,13324375,0,1758,13280200,0
2024-11-15 15:20:53,normal_traffic,unknown,317118.92,205938169856,230966169600,1496346112,3238695936,288418855430,0,0,879559178,6403,14087643136,16440193024,52560,342131965,2.35,2.46,2.33,11,6,1393,5705728,5,512,836,5,8632,1367,107,0,55,789,16786,5,254,239529,60,0,12,0,47538836,0,13,9226938,0,16788,9193642,0
2024-11-15 15:20:56,normal_traffic,unknown,313949.89999999997,208018698240,232610275328,1325872128,3557377024,299961910610,0,0,901965396,7516,13082796032,16440401920,66121,356786764,2.37,2.34,2.29,11,5,1967,8056832,5,768,1362,5,16072,38074,6050,0,4306,1171,848,109,5732,425875,2548,0,87,0,73954711,0,80,14418719,0,6888,14326922,0
